TABELA CBENEF X CST PARA OS BENEFÍCIOS FISCAIS VIGENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cbenef,Aplica ao Simples Nacional,"CST 00 
(Tributada integralmente)","CST 10 
(Tributada e com cobrança do ICMS por substituição tributária)","CST 20 
(Com redução de base de cálculo)","CST 30 
(Isenta ou não tributada e com cobrança do ICMS por substituição tributária)","CST 40 
(Isenta)","CST 41 
(Não tributada)","CST 50 
(Suspensão)","CST 51 
(Diferimento)","CST 60 
(ICMS cobrado anteriormente por substituição tributária)","CST 70 
(Com redução de base de cálculo e cobrança do ICMS por substituição tributária)","CST 90 
(Outras)",DATA INÍCIO,DT FINAL,DESCRIÇÃO: SETORES/PROGRAMAS/BENEFICIÁRIOS,CAPITULAÇÃO LEGAL,OBSERVAÇÃO,,,,,,,,,,,,,,,
ES100036,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,Saída e retorno de mercadorias com destino a exposições ou feiras.,"Art. 5º, XXXII do RICMS/ES
I Convênio do RJ de 1967
Convênio de Cuiabá de 1967
Convênio ICMS 30/90
Convênio ICMS 151/94",Isenção do ICMS,,,,,,,,,,,,,,,
ES100037,SIM,,,,SIM,SIM,,,,,,,2022-03-07 00:00:00,2026-04-30 00:00:00,"Saídas internas de veículos automotores, máquinas e equipamentos, quando adquiridos por corpos de bombeiros voluntários.","Art. 5º, XXXIV do RICMS/ES
Anexo III, item 7 da Lei 7.000/01
Convênio ICMS 32/95
Convênio ICMS 226/23",Isenção do ICMS,,,,,,,,,,,,,,,
ES100038,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,"Saída interna de veículos, quando adquiridos pela Secretaria de Estado de Segurança Pública e pela Secretaria de Estado da Fazenda.","Art. 5º, XXXV do RICMS/ES
Convênio ICMS 34/92",Isenção do ICMS,,,,,,,,,,,,,,,
ES100039,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,"Saída interna com peças de argamassa armada, destinada à obras objeto de convênio ou contrato firmados com a Administração Pública.","Art. 5º, XXXVI do RICMS/ES
Convênio ICMS 12/93
Convênio ICMS 91/93",Isenção do ICMS,,,,,,,,,,,,,,,
ES100040,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,Saída de produtos típicos de artesanato regional.,"Art. 5º, XXXVII do RICMS/ES
Convênio ICMS 32/75
Convênio ICMS 40/90
Convênio ICMS 151/94",Isenção do ICMS,,,,,,,,,,,,,,,
ES100041,SIM,,,,SIM,SIM,,,,,,,2014-02-19 00:00:00,,Saída de produtos industrializados promovidas por lojas francas (free shops) instaladas nas zonas primárias dos aeroportos de categoria internacional.,"Art. 5º, XXXVIII do RICMS/ES
Convênio ICMS 91/91
Convênio ICMS 04/14",Isenção do ICMS,,,,,,,,,,,,,,,
ES100042,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,Serviço de transporte ferroviário de carga vinculado às operações de exportação e importação de países signatários do Acordo sobre o Transporte Internacional.,"Art. 5º, XXXIX do RICMS/ES
Convênio ICMS 30/96",Isenção do ICMS,,,,,,,,,,,,,,,
ES100043,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,"Saída interna e retorno de bens integrados ao ativo imobilizado, de moldes, matrizes, gabaritos, padrões, chapelonas, modelos e estampas.","Art. 5º, XL do RICMS/ES
Convênio ICMS 70/90
Convênio ICMS 151/94",Isenção do ICMS,,,,,,,,,,,,,,,
ES100044,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,"Saída interna, entre estabelecimentos de uma mesma empresa, de bens integrados ao ativo imobilizado.","Art. 5º, XLI do RICMS/ES
Convênio ICMS 70/90
Convênio ICMS 151/94",Isenção do ICMS,,,,,,,,,,,,,,,
ES100045,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,"Saída decorrente de destroca de botijões vazios, destinados ao acondicionamento de GLP.","Art. 5º, XLII do RICMS/ES
Convênio ICMS 88/91",Isenção do ICMS,,,,,,,,,,,,,,,
ES100046,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,Saída de trava-blocos para a construção de casas populares.,"Art. 5º, XLIII do RICMS/ES
Convênio ICMS 35/92",Isenção do ICMS,,,,,,,,,,,,,,,
ES100047,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,"Saída de papel-moeda, moeda metálica e cupom de distribuição de leite, promovida pela Casa da Moeda do Brasil.","Art. 5º, XLIV do RICMS/ES
Convênio ICMS 01/91",Isenção do ICMS,,,,,,,,,,,,,,,
ES100048,SIM,,,,SIM,SIM,,,,,,,2015-06-30 00:00:00,,"Operações internas e interestaduais com oócito, embrião ou sêmen, congelado ou resfriado, de bovinos, ovinos, caprinos ou suínos.","Art. 5º, XLV do RICMS/ES
Convênio ICMS 70/92
Convênio ICMS 26/15",Isenção do ICMS,,,,,,,,,,,,,,,
ES100049,SIM,,,,SIM,SIM,,,,,,,2012-04-05 00:00:00,,"Saída de produtos constantes da lista anexa ao Convênio ICM 07/89, com destino à Zona Franca de Manaus.","Art. 5º, XLVI do RICMS/ES
Convênio ICMS 65/88
Convênio ICMS 36/97",Isenção do ICMS,,,,,,,,,,,,,,,
