NCM,Início de vigência da NCM,Fim de vigência da NCM,uTrib para uso em operações de Exportação (Abreviatura),Descrição da uTrib utilizada em operações de Exportação,
03039990,2017-01-01 00:00:00,,KG,Quilograma,
03043100,2016-01-01 00:00:00,,KG,Quilograma,
03043210,2016-01-01 00:00:00,,KG,Quilograma,
03043290,2016-01-01 00:00:00,,KG,Quilograma,
03043300,2016-01-01 00:00:00,,KG,Quilograma,
03043900,2016-01-01 00:00:00,,KG,Quilograma,
03044100,2016-01-01 00:00:00,,KG,Quilograma,
03044200,2016-01-01 00:00:00,,KG,Quilograma,
03044300,2016-01-01 00:00:00,,KG,Quilograma,
03044400,2016-01-01 00:00:00,,KG,Quilograma,
03044500,2016-01-01 00:00:00,,KG,Quilograma,
03044600,2016-01-01 00:00:00,,KG,Quilograma,
03044700,2017-01-01 00:00:00,,KG,Quilograma,
03044800,2017-01-01 00:00:00,,KG,Quilograma,
03044910,2016-01-01 00:00:00,,KG,Quilograma,
03044920,2016-01-01 00:00:00,,KG,Quilograma,
03044990,2016-01-01 00:00:00,,KG,Quilograma,
03045100,2016-01-01 00:00:00,,KG,Quilograma,
03045200,2016-01-01 00:00:00,,KG,Quilograma,
03045300,2016-01-01 00:00:00,,KG,Quilograma,
03045400,2016-01-01 00:00:00,,KG,Quilograma,
03045500,2016-01-01 00:00:00,,KG,Quilograma,
03045600,2017-01-01 00:00:00,,KG,Quilograma,
03045700,2017-01-01 00:00:00,,KG,Quilograma,
03045900,2016-01-01 00:00:00,,KG,Quilograma,
03046100,2016-01-01 00:00:00,,KG,Quilograma,
03046210,2016-01-01 00:00:00,,KG,Quilograma,
03046290,2016-01-01 00:00:00,,KG,Quilograma,
03046300,2016-01-01 00:00:00,,KG,Quilograma,
03046900,2016-01-01 00:00:00,,KG,Quilograma,
03047100,2016-01-01 00:00:00,,KG,Quilograma,
03047200,2016-01-01 00:00:00,,KG,Quilograma,
03047300,2016-01-01 00:00:00,,KG,Quilograma,
03047400,2016-01-01 00:00:00,,KG,Quilograma,
03047500,2016-01-01 00:00:00,,KG,Quilograma,
03047900,2016-01-01 00:00:00,,KG,Quilograma,
03048100,2016-01-01 00:00:00,,KG,Quilograma,
03048200,2016-01-01 00:00:00,,KG,Quilograma,
03048300,2016-01-01 00:00:00,,KG,Quilograma,
03048400,2016-01-01 00:00:00,,KG,Quilograma,
03048510,2016-01-01 00:00:00,,KG,Quilograma,
03048520,2016-01-01 00:00:00,,KG,Quilograma,
03048600,2016-01-01 00:00:00,,KG,Quilograma,
